Chemical_Name,Skin_Type,Description
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
#VALUE!,Combination Skin,"Squalene helps hydrate and balance oil production, making it suitable for combination skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
rubus idaeus,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
rosa canina,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
disodium lauryl,Combination Skin,"A pH adjuster used in skincare formulations, suitable for oily and combination skin types."
helianthus annuus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
prunus amygdalus,All Skin type,"Prunus Amygdalus Dulcis, or Sweet Almond Oil, is rich in fatty acids and vitamins, suitable for all skin types."
macadamia ternifolia,Oily Skin,"Alpha Hydroxy Acids (AHAs) like AHA exfoliate the skin, improve texture, and reduce the appearance of fine lines, suitable for oily skin types."
corylus avellana,All Skin type,"Prunus Amygdalus Dulcis, or Sweet Almond Oil, is rich in fatty acids and vitamins, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
simmondsia chinensis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
neopentyl glycol,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
olea europaea,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"castor oil',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sesamium indicum,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cyclopentasiloxane', 'c15-19",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butane', 'homosalate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
olea europaea,Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"butane', 'homosalate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'isopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'ethylhexyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"dimethyl ether',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butane', 'homosalate',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"glycerin', 'aloe",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"disiloxane', 'alcohol',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"glycerin', 'polysorbate-20',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
betula alba,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'polysorbate-20',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butane', 'homosalate',",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
bis-peg-18 methyl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"coco-caprylate', 'macadamia",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
citrus aurantium,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"polyglyceryl-4 coco-caprylate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
betula alba,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
rubus chamaemorus,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'polysorbate-20',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'alcohol",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"castor oil',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"hamamelis virginiana',",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin types."
"rosa damascena',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
rosa centifolia,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'peg-400',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
hordeum vulgare,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propanediol', 'sodium",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
bis-peg-18 methyl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol', 'althaea",Dry Skin,"Lactic Acid is an alpha hydroxy acid (AHA) that gently exfoliates and hydrates the skin, suitable for dry skin types."
"hexylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
cocos nucifera,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sd alcohol,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
aloe barbadenis,Combination Skin,"An alpha hydroxy acid (AHA) that helps to exfoliate and brighten the skin, suitable for oily and combination skin types."
bis-peg-18 methyl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol', 'phenoxyethyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'glyceryl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
bis-peg-18 methyl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol denat',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'gentiana",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
bis-peg-18 methyl,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propanediol', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propanediol', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'rosa",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"methylpropanediol', 'pentylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'isopropyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"pentylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethyl ether',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'polyglyceryl-10",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
rubus chamaemorus,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"zinc oxide',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'polysorbate-20',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"alcohol denat',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"maris aqua',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"alcohol denat',",All Skin type,"Homosalate is a chemical sunscreen agent that helps protect the skin from UVB rays, suitable for all skin types."
"rosa damascena',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"citric acid',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"polyglyceryl-10 laurate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"alcohol', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"polyglyceryl-10 laurate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"superoxide dismutase',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"rosa damascena',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"ethylhexyl palmitate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cera alba',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"hydrogenated polyisobutene',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"cera alba',",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"hydrogenated polyisobutene',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"homosalate', 'panthenol',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
helianthus annuus,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"petrolatum', 'olea",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"lanolin', 'aroma',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
corylus avellana,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"cera alba',",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"lanolin', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
cocos nucifera,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
helianthus annuus,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"polybutene', 'octyldodecanol',",All Skin type,Eugenol is a fragrance ingredient with antiseptic properties. Suitable for all skin types.
"castor oil',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
corylus avellana,Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"olus oil',",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"lanolin', 'lanolin",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"lanolin', 'lanolin",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"coco-caprylate', 'glycerin',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'cetearyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
helianthus annuus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
simmondsia chinensis,All Skin type,"Alcohol is used in skincare formulations as a solvent and penetration enhancer, suitable for all skin types in appropriate concentrations."
rosa centifolia,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"cera alba',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"castor oil',",Dry Skin,A natural emollient that helps to hydrate and soften dry skin.
"castor oil',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
corylus avellana,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"petrolatum', 'olea",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"lanolin', 'theobroma",Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
"maris sal',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"c13-15 alkane',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
corn starch,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
olea europaea,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'cyclopentasiloxane',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"isopropyl myristate',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
macadamia ternifolia,Dry Skin,"Vitamin E, an antioxidant that helps to protect and moisturize dry skin."
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dipropylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"castor oil',",Normal Skin,"A salt form of hyaluronic acid, it helps to hydrate and plump the skin. Suitable for dry and combination skin types."
"cetearyl alcohol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"octyldodecyl stearate',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"hydrogenated polydecene',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cetearyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butyrospermum parkii',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'isohexadecane',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cocoglycerides', 'sesamium",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
prunus amygdalus,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"petrolatum', 'polybutene',",Dry Skin,"An amino acid that helps to maintain skin hydration, beneficial for dry skin."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'glycereth-26',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
aloe barbadenis,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'dipropylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
leptospermum scoparium,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"polysorbate 60',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'magnesium",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dodecane', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dodecane', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'dipropylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"alcohol', 'lactic",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glyceryl stearate',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
glyceryl stearate,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"bentonite', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'dipropylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'cetyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"montmorillonite', 'c12-20',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"kaolin', 'magnesium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'cyclomethicone',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"myristic acid',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dodecane', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"dipropylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'cetearyl",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
aloe barbadenis,Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'cetyl",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"glycerin', 'cocamidopropyl",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"kaolin', 'bentonite',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'montmorillonite',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
myrtus communis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"heilmoor clay',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
oryza sativa,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'cetearyl",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dimethicon', 'butylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"paraffinum liquidum',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"propanediol', 'butylene",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"metlclylpropanediol', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"propylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'carrageenan',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"dipropylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"rosa damascena',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
cannabis sativa,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"cetyl esters',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"butylene glycol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'isopentyldiol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'diglycerin',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
aloe barbadenis,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'alcohol",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"kaolin', 'silt',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"dipropylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium polyacrylate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
lactococcus ferment,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'butylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'pentylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"sodium polyacrylate',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"dipropylene glycol',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'hydrogenated",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propanediol',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"methylpropanediol', 'glycerin',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'ceratonia",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
citrus aurantium,Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"kaolin', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'magnesium",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'glycereth-26',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'dipropylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'silt',",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'propylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"kaolin', 'glycerin',",Combination Skin,"An emollient and thickening agent that can hydrate dry skin, but may be comedogenic for oily skin types."
"alcohol denat',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"rosa damascena',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"kaolin', 'glycerin',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"kaolin', 'bentonite',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dimethicon',",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
cucurbita pepo,All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'ceteareth",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"zeolite', 'butylene",Oily Skin,A fatty alcohol used as an emollient and thickening agent. It may be comedogenic for oily skin types.
"butylene glycol',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
sodium c14-16,Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"glycerin', 'niacinamide',",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"glycerin', 'propylene",All Skin type,"A humectant that attracts moisture to the skin, suitable for all skin types."
"capric triglyceride',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"glycerin', 'dipropylene",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
"galactoarabinan', 'aloe",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"kaolin', 'volcanic",Combination Skin,A humectant that attracts moisture to the skin. It is lightweight and suitable for oily and combination skin types.
"montmorillonite', 'c12-20',",Dry Skin,A moisturizing agent derived from coconut oil. It helps to hydrate and replenish dry skin.
